timestamp,window_size,horizon,epochs,loss,mae,rmse,model_path,scaler_path,learning_rate,dropout,neyro
2025-06-06 21:07:07.822541,30,1,20,0.000168343365658,0.008889587778433,0.0120343547776183,models/model_ws30_hz1_20250606_210542.h5,scalers/model_ws30_hz1_20250606_210542_scalers.pkl,0.0005,0.1,128
2025-06-06 21:08:03.477827,30,3,20,0.0002844568807631,0.0158258791689901,0.0205194295398984,models/model_ws30_hz3_20250606_210707.h5,scalers/model_ws30_hz3_20250606_210707_scalers.pkl,0.0005,0.1,128
2025-06-06 21:09:18.395044,30,5,20,0.0003945366770494,0.0174889430193573,0.0229585921797596,models/model_ws30_hz5_20250606_210803.h5,scalers/model_ws30_hz5_20250606_210803_scalers.pkl,0.0005,0.1,128
2025-06-06 21:10:25.868554,60,1,20,0.0002317756297998,0.0167646197834186,0.0227283992849625,models/model_ws60_hz1_20250606_210918.h5,scalers/model_ws60_hz1_20250606_210918_scalers.pkl,0.0005,0.1,128
2025-06-06 21:12:01.676476,60,3,20,0.000321720726788,0.0176693886615757,0.0233270584349443,models/model_ws60_hz3_20250606_211025.h5,scalers/model_ws60_hz3_20250606_211025_scalers.pkl,0.0005,0.1,128
2025-06-06 21:13:42.827306,60,5,20,0.0003800156118813,0.0201773076899309,0.0269151628542747,models/model_ws60_hz5_20250606_211201.h5,scalers/model_ws60_hz5_20250606_211201_scalers.pkl,0.0005,0.1,128
2025-06-06 21:15:12.117671,90,1,20,0.0002459792012814,0.0165655838583288,0.0202810561632873,models/model_ws90_hz1_20250606_211342.h5,scalers/model_ws90_hz1_20250606_211342_scalers.pkl,0.0005,0.1,128
2025-06-06 21:17:30.271664,90,3,20,0.0003027137136086,0.0147231195932801,0.0200449537617682,models/model_ws90_hz3_20250606_211512.h5,scalers/model_ws90_hz3_20250606_211512_scalers.pkl,0.0005,0.1,128
2025-06-06 21:19:48.138207,90,5,20,0.0004395683936309,0.0182990272727783,0.0241250492418094,models/model_ws90_hz5_20250606_211730.h5,scalers/model_ws90_hz5_20250606_211730_scalers.pkl,0.0005,0.1,128
2025-06-06 21:24:00.916222,120,1,20,0.0001529593428131,0.0154764736424497,0.0204427924429084,models/model_ws120_hz1_20250606_211948.h5,scalers/model_ws120_hz1_20250606_211948_scalers.pkl,0.0005,0.1,128
2025-06-06 21:28:36.582930,120,3,20,0.0002722696808632,0.014869837785551,0.0200587217409747,models/model_ws120_hz3_20250606_212400.h5,scalers/model_ws120_hz3_20250606_212400_scalers.pkl,0.0005,0.1,128
2025-06-06 21:30:29.144908,120,5,20,0.0004539991787169,0.0166357577381042,0.0225302715304529,models/model_ws120_hz5_20250606_212836.h5,scalers/model_ws120_hz5_20250606_212836_scalers.pkl,0.0005,0.1,128
2025-06-06 21:34:39.480164,150,1,20,0.0001895048917504,0.0130237817601665,0.0179474816096281,models/model_ws150_hz1_20250606_213029.h5,scalers/model_ws150_hz1_20250606_213029_scalers.pkl,0.0005,0.1,128
2025-06-06 21:40:03.323076,150,3,20,0.0002789488062262,0.0148082553555761,0.0202434464196513,models/model_ws150_hz3_20250606_213439.h5,scalers/model_ws150_hz3_20250606_213439_scalers.pkl,0.0005,0.1,128
2025-06-06 21:43:12.083588,150,5,20,0.00041906689875759184,0.020449045239736077,0.02633186469562966,models/model_ws150_hz5_20250606_214003.h5,scalers/model_ws150_hz5_20250606_214003_scalers.pkl,0.0005,0.1,128


